s xb yb zb psi xl yl zl xr yr zr
0.0000000000 2.6336750184 -1.7095555727 0.6137296906 -1.4863007355 2.8843085260 -1.6906153733 -0.2070008390 2.3853517100 -1.7235300894 -0.1908453216
0.0500000000 1.6677353581 -1.0143269394 0.3393715723 0.2899151539 1.8151983527 -1.8384336254 0.6303781309 1.3627629230 -1.7034409107 -0.2141377490
0.1000000000 1.5001116294 -0.6041669477 0.9981670896 0.2615703239 1.4867007420 -1.3145258637 1.7166803754 1.0126720663 -1.4281496959 0.9469039135
0.1500000000 1.5643777098 -0.4158355104 1.8837374991 -0.6038880906 1.4785436499 -0.7209500648 2.7025876753 0.9075037644 -1.0560446178 2.2897630154
0.2000000000 1.6294331180 -0.3614643246 2.6572211467 -1.5581092821 1.5771760567 -0.2901201929 3.4540884451 0.8668750278 -0.6784094587 3.3655226513
0.2500000000 1.6489975459 -0.3660704795 3.1910069282 -2.1259996154 1.6906950141 -0.0561729672 3.9470349867 0.8461024399 -0.3532455160 4.0405101730
0.3000000000 1.6556281400 -0.3858504372 3.4626330089 -2.1083946793 1.7885075284 0.0278686212 4.1995697611 0.8576926366 -0.1238562961 4.3320769704
0.3500000000 1.6927636475 -0.4113194788 3.4902262429 -1.5447290522 1.8620951428 0.0184402040 4.2354324667 0.9210766825 -0.0255514171 4.3063654450
0.4000000000 1.7782995349 -0.4593617102 3.3008577375 -0.6471902906 1.9032490825 -0.0534054986 4.0711597115 1.0358489481 -0.0838261384 4.0259151001
0.4500000000 1.8931981962 -0.5582557223 2.9231900043 0.2821563535 1.8961438255 -0.1887214774 3.7201890676 1.1737710911 -0.3073729359 3.5349596711
0.5000000000 1.9886383583 -0.7297409995 2.3957911416 0.9397859770 1.8196169618 -0.4079653413 3.2068792956 1.2848017465 -0.6792815417 2.8702672207
0.5500000000 2.0052077991 -0.9721901701 1.7824914909 1.1031883239 1.6560232061 -0.7275691679 2.5834585267 1.3124125298 -1.1497838676 2.0853751228
0.6000000000 1.8976434892 -1.2489521924 1.1861582103 0.6959118312 1.4030304243 -1.1344751386 1.9429121909 1.2134509560 -1.6339002304 1.2760718579
0.6500000000 1.6586232696 -1.4859315722 0.7522632084 -0.1763090874 1.0847255401 -1.5673317961 1.4208224786 0.9778108798 -2.0173432982 0.5949775455
0.7000000000 1.3351131773 -1.5824687036 0.6536198833 -1.2298300268 0.7583981827 -1.9130457641 1.1791711239 0.6431710599 -2.1740361771 0.2430751369
0.7500000000 1.0307745316 -1.4395864288 1.0476641069 -2.0592623521 0.5133699397 -2.0273837672 1.3651172976 0.3000624522 -1.9986010554 0.4260441921
0.8000000000 0.8879348929 -1.0096679104 1.9976549013 -2.2570152460 0.4582370788 -1.7883197912 2.0377623977 0.0825248356 -1.4571748266 1.2632491644
0.8500000000 1.0426270067 -0.3716309096 3.3491702480 -1.6077005481 0.6928946003 -1.1908222220 3.0559135245 0.1396133734 -0.6599081075 2.6372341183
0.9000000000 1.5461998441 0.1643364347 4.5532734746 -0.3688868949 1.2617094854 -0.4917758014 3.9198574298 0.5830157169 0.0414959280 3.9715758026
0.9500000000 2.2470058520 -0.0815867687 4.4277256614 0.3503103319 2.0842110016 -0.4137332412 3.5601567272 1.4060402514 -0.0721535185 3.9249470041
1.0000000000 2.6256685249 -2.3349082249 0.8476195119 -1.8986832592 2.8596659301 -2.4161913315 0.0664801507 2.3692360925 -2.2452225903 -0.0107578951
