s xb yb zb psi xl yl zl xr yr zr
0.0000000000 1.2904949827 -2.0926632805 0.8702718778 -1.0927732098 0.6540267002 -2.8496342312 1.8587883715 -0.1554662670 -1.9574325874 0.5812596132
0.0500000000 2.2225319200 -1.1916778784 2.5762962726 -3.2715263429 2.8835782214 -2.0540268613 3.8042914651 2.1845722039 -3.2357340652 2.7846710158
0.1000000000 2.2101906367 0.1734029135 3.6894725995 -0.8865371224 3.3097807162 -0.9199603688 4.0484757629 3.9504766561 -0.1679320576 3.4356657799
0.1500000000 2.1411788905 1.0780295528 4.0387533777 1.3419523692 3.1130307911 -0.1867428904 3.2352941303 4.9539637484 2.6002423453 3.2205195776
0.2000000000 2.3121543299 1.3005461410 3.7728516368 1.7045934465 2.8371891132 0.0197240369 2.2423104161 5.2147224137 3.5047071898 2.0214288248
0.2500000000 2.6894654431 0.9923963256 3.1629678852 0.2410544456 2.6522316286 -0.1279369659 1.4946491169 4.8782215403 2.6886951957 0.5021429881
0.3000000000 3.0998971256 0.4434167698 2.4733226274 -2.1913832880 2.5444777995 -0.3743732370 1.0400412757 4.1513950247 1.0175378563 -0.2316860627
0.3500000000 3.3602274669 -0.0710422028 1.8885880222 -4.5610805963 2.4443506540 -0.5132726050 0.9073625764 3.2542825468 -0.5717373082 0.2736409813
0.4000000000 3.3544023549 -0.3744291765 1.4873122758 -6.0594704384 2.3016234373 -0.4501750682 1.2710595955 2.3857044193 -1.4403017553 1.1428902234
0.4500000000 3.0671344985 -0.4179978166 1.2504303602 -6.2949861023 2.1181076580 -0.2113903593 1.9438601746 1.7010488643 -1.3912185905 1.0828668735
0.5000000000 2.5827334674 -0.2677670366 1.0939546521 -5.3258112449 1.9477373205 0.0859138685 0.8771775810 1.3002500685 -0.6412383171 2.0522588860
0.5500000000 2.0579733487 -0.0626955501 0.9149390824 -3.5737753120 1.8740041357 0.2873884978 -0.2822307014 1.2240353689 0.3249969273 0.8128656279
0.6000000000 1.6778046199 0.0426688024 0.6398103906 -1.6617178829 1.9746984999 0.2638793102 -0.3045045033 1.4565199222 0.9640352363 0.3907609120
0.6500000000 1.6027168386 -0.0621954378 0.2641600755 -0.2166454912 2.2839110364 -0.0325614811 -0.2717324742 1.9322272083 0.8916774908 0.6320111850
0.7000000000 1.9165587471 -0.3951633945 -0.1269093641 0.3189955326 2.7612494891 -0.5340932644 -0.1011258430 2.5456137215 0.0557151978 0.7268298251
0.7500000000 2.5836223926 -0.8570998490 -0.3687903074 -0.1743933542 3.2782257604 -1.0589993642 0.2601113744 3.1611762007 -1.1909618006 0.4390650170
0.8000000000 3.4237978625 -1.2450115670 -0.2686344152 -1.4480384400 3.6317678860 -1.3651584151 0.6197303009 3.6222197505 -2.1711931569 0.1991826783
0.8500000000 4.1146052332 -1.3159763527 0.2912180347 -2.9743559620 3.5948117370 -1.2701395098 0.8203283935 3.7563652058 -2.1726167970 0.5569551387
0.9000000000 4.2289103340 -0.9151092178 1.1867374697 -4.2139245247 3.0139272416 -0.8529858577 1.0293090437 3.3758740921 -0.9992840591 1.4900662752
0.9500000000 3.3171309236 -0.1808260570 1.8117265991 -5.1021912838 1.9639339183 -0.7527516907 1.5540347190 2.2708695324 0.1598733982 2.0648438060
1.0000000000 1.0427398806 0.1593347804 0.7524578332 -6.7982354423 0.9694605112 -2.5788571515 1.6972987818 0.1935314544 -2.5085804926 0.9453294450
