s xb yb zb psi xl yl zl xr yr zr
0.0000000000 2.6155083312 -1.7158619700 0.6136851944 -1.4884824379 2.8790328966 -1.7013380827 -0.2294168269 2.3249581459 -1.7346145660 -0.2145165470
0.0500000000 2.2303694190 -1.6362034413 0.3542049226 -4.8063815179 2.3079584932 -2.4089016752 0.0818760784 1.6820558250 -2.1691906372 -0.1006990667
0.1000000000 2.0055949748 -1.2504510388 -0.1115397361 9.7752235807 2.1358752673 -2.1604116105 -0.0634228096 1.4301889998 -1.8988579759 -0.1744083144
0.1500000000 1.9698900309 -0.9756816428 -0.4929954764 21.7628216962 2.1612846774 -1.8264485237 -0.2348267434 1.4164468426 -1.6228575899 -0.2595633864
0.2000000000 2.0630785540 -0.9093392543 -0.6805667333 24.7122541294 2.2481438185 -1.7100481323 -0.2713183900 1.5109454346 -1.5592347291 -0.2932176431
0.2500000000 2.1976965715 -0.9894083408 -0.6739458330 19.9234024976 2.3173025901 -1.8061059099 -0.1673283909 1.6192357719 -1.6733296735 -0.2751464281
0.3000000000 2.2979940959 -1.1043301246 -0.5283471846 11.8996854403 2.3354858831 -1.9843035843 0.0106024158 1.6860040197 -1.8370239534 -0.2318779647
0.3500000000 2.3201620368 -1.1603779647 -0.3164149650 5.3312922248 2.3028023628 -2.1067543803 0.1805681486 1.6919535072 -1.9290800434 -0.1931143380
0.4000000000 2.2576002932 -1.1142079794 -0.1035737428 3.3610812991 2.2397614237 -2.0915639256 0.2795414482 1.6457579565 -1.8869125755 -0.1784894782
0.4500000000 2.1350432133 -0.9783010581 0.0654085063 6.8920718375 2.1747798915 -1.9335037417 0.2792064942 1.5729754392 -1.7201291107 -0.1926110543
0.5000000000 1.9953586142 -0.8070124116 0.1708755449 14.6954563284 2.1331600478 -1.6929942386 0.1874725094 1.5038125522 -1.4961785162 -0.2263331920
0.5500000000 1.8828365512 -0.6709448079 0.2159867312 24.0780622496 2.1285205545 -1.4645941338 0.0397587895 1.4616283085 -1.3084449875 -0.2622069271
0.6000000000 1.8267840259 -0.6273616441 0.2199001376 31.8681908793 2.1576618525 -1.3361932150 -0.1158577036 1.4540672327 -1.2371257606 -0.2820553057
0.6500000000 1.8292418244 -0.6943560006 0.2086654820 35.4787612892 2.1998476112 -1.3501053673 -0.2355411476 1.4687111580 -1.3132305566 -0.2746200447
0.7000000000 1.8606396762 -0.8364918276 0.2060574228 33.8066875676 2.2214838045 -1.4772587838 -0.2945510282 1.4751392142 -1.4960408010 -0.2412266633
0.7500000000 1.8672059219 -0.9696334122 0.2265797673 27.7274173190 2.1871769888 -1.6156802807 -0.2959606303 1.4352855029 -1.6743666622 -0.1974149984
0.8000000000 1.7939478823 -0.9926792733 0.2728711456 19.9435594875 2.0781533592 -1.6244706361 -0.2691488166 1.3239839513 -1.7019399501 -0.1684820146
0.8500000000 1.6270191182 -0.8539166352 0.3397426989 13.9465295515 1.9190201595 -1.4044678728 -0.2539740547 1.1615898375 -1.4772809198 -0.1768838228
0.9000000000 1.4592897699 -0.6597126256 0.4270783351 11.8501401361 1.8138510220 -1.0367954049 -0.2665396554 1.0605674823 -1.0783770218 -0.2194438171
0.9500000000 1.5829361693 -0.8332583485 0.5638281002 10.8550650916 1.9925768127 -0.9904919680 -0.2424591853 1.2879335977 -0.9625116422 -0.2323138437
1.0000000000 2.6128659115 -2.3310819797 0.8453252174 -1.8968949167 2.8686635577 -2.4104202539 0.0464689853 2.3454457886 -2.2415808766 -0.0416353133
