s xb yb zb psi xl yl zl xr yr zr
0.0000000000 2.6353328987 -1.7164599513 0.6137862598 -1.4546197663 2.8472020708 -1.7480431354 -0.1612983759 2.3851189485 -1.7453518641 -0.1739722004
0.0500000000 2.6368632032 -1.7549904476 0.6316486155 -1.5113129846 2.9011775003 -1.7070392628 -0.1947837956 2.3885631467 -1.7699308575 -0.1532924202
0.1000000000 2.6402690137 -1.8006946123 0.6517228777 -1.5107254164 2.9353372543 -1.7041030442 -0.1999211746 2.3920224186 -1.8157858591 -0.1311279277
0.1500000000 2.6448585894 -1.8509265896 0.6726215063 -1.4856000107 2.9540528202 -1.7312634571 -0.1835960467 2.3958349555 -1.8722069511 -0.1094556117
0.2000000000 2.6500215708 -1.9033518004 0.6932730398 -1.4593021940 2.9611425300 -1.7810256966 -0.1521346530 2.4001303968 -1.9311054551 -0.0896688891
0.2500000000 2.6552289798 -1.9559469431 0.7128903120 -1.4470027252 2.9598967696 -1.8464392708 -0.1112592630 2.4048659740 -1.9867225229 -0.0726480319
0.3000000000 2.6600332193 -2.0069999933 0.7309386674 -1.4568605516 2.9531031887 -1.9211660969 -0.0660434954 2.4098626557 -2.0353377285 -0.0588304957
0.3500000000 2.6640680737 -2.0551102036 0.7471041774 -1.4912056639 2.9430719104 -1.9995485963 -0.0208676386 2.4148412925 -2.0749776587 -0.0482812470
0.4000000000 2.6670487086 -2.0991881039 0.7612618560 -1.5477219520 2.9316607409 -2.0766777906 0.0206260284 2.4194587613 -2.1051245048 -0.0407630907
0.4500000000 2.6687716708 -2.1384555013 0.7734438760 -1.6206300604 2.9203003789 -2.1484613972 0.0555779155 2.4233441104 -2.1264246536 -0.0358069985
0.5000000000 2.6691148884 -2.1724454799 0.7838077846 -1.7018702435 2.9100196256 -2.2116919246 0.0819558002 2.4261347039 -2.1403972785 -0.0327824358
0.5500000000 2.6680376708 -2.2010024013 0.7926047195 -1.7822852214 2.9014705940 -2.2641147684 0.0985995075 2.4275123667 -2.1491429311 -0.0309676901
0.6000000000 2.6655807086 -2.2242819039 0.8001476248 -1.8528030353 2.8949539189 -2.3044963070 0.1052655889 2.4272395288 -2.1550521323 -0.0296201982
0.6500000000 2.6618660737 -2.2427509036 0.8067794668 -1.9056199027 2.8904439662 -2.3326919967 0.1026720015 2.4251953705 -2.1605139636 -0.0280468743
0.7000000000 2.6570972193 -2.2571875933 0.8128414500 -1.9353830731 2.8876140428 -2.3497144679 0.0925427874 2.4214119667 -2.1676246580 -0.0256744376
0.7500000000 2.6515589798 -2.2686814431 0.8186412330 -1.9403736835 2.8858616060 -2.3578016204 0.0776527531 2.4161104320 -2.1778961918 -0.0221197398
0.8000000000 2.6456175708 -2.2786332004 0.8244211446 -1.9236896140 2.8843334737 -2.3604847190 0.0618721485 2.4097370650 -2.1919648754 -0.0172600930
0.8500000000 2.6397205894 -2.2887548896 0.8303263991 -1.8944283429 2.8819510331 -2.3626564895 0.0502113464 2.4029994931 -2.2092999448 -0.0113035975
0.9000000000 2.6343970137 -2.3010698123 0.8363733132 -1.8688698025 2.8774354512 -2.3706392139 0.0488655215 2.3969028176 -2.2279121526 -0.0048594695
0.9500000000 2.6302572032 -2.3179125476 0.8424175209 -1.8716592344 2.8693328842 -2.3922528264 0.0652593299 2.3927857580 -2.2440623596 0.0009916316
1.0000000000 2.6279928987 -2.3419289513 0.8481221900 -1.9369900451 2.8560396868 -2.4368830086 0.1080915882 2.3923567967 -2.2519701257 0.0046272748
