s xb yb zb psi xl yl zl xr yr zr
0.0000000000 2.6335276816 -1.7095704017 0.6139290750 -1.4862712786 2.8765617581 -1.7128600247 -0.1994558003 2.3846881386 -1.7140630220 -0.1935811382
0.0500000000 2.0958047513 -0.8721339333 0.4318328838 -1.5153734269 2.4151669012 -1.2481041535 -0.2297045929 1.6043237125 -0.9955278983 -0.2500144983
0.1000000000 1.7948038796 -0.5438414607 0.3012713677 -1.5035914437 2.0439996176 -1.1345209389 -0.2516295829 1.1605502387 -0.7335899367 -0.2857954498
0.1500000000 1.6888377872 -0.5391131440 0.2199490051 -1.4769649347 1.8128120618 -1.2450283622 -0.2557601975 0.9869616290 -0.7745593619 -0.2997238939
0.2000000000 1.7341712194 -0.7105625381 0.1834431177 -1.4538928172 1.7389584399 -1.4759311055 -0.2364714223 1.0186246599 -0.9911526468 -0.2931636580
0.2500000000 1.8865183581 -0.9455878506 0.1856558301 -1.4460964484 1.8133501330 -1.7452989501 -0.1915239152 1.1933836251 -1.2809068937 -0.2694979681
0.3000000000 2.1025402335 -1.1629631988 0.2192660290 -1.4595827529 2.0064108203 -1.9913451747 -0.1216041205 1.4531649886 -1.5645942162 -0.2335849206
0.3500000000 2.3413421363 -1.3094298677 0.2761813229 -1.4956073503 2.2740316025 -2.1708049538 -0.0298643828 1.7452820373 -1.7846361209 -0.1912129543
0.4000000000 2.5659710293 -1.3562875668 0.3479900010 -1.5516376831 2.5635261251 -2.2573137557 0.0785369386 2.0237395335 -1.9035178896 -0.1485563228
0.4500000000 2.7449129597 -1.2959856884 0.4264129931 -1.6223161444 2.8195857013 -2.2397857412 0.1968953558 2.2505383678 -1.9022029605 -0.1116305664
0.5000000000 2.8535904707 -1.1387145646 0.5037558286 -1.7004232056 2.9902344355 -2.1207921617 0.3174201382 2.3969802120 -1.7785473100 -0.0857479842
0.5500000000 2.8758600133 -0.9089967248 0.5733605963 -1.7778405442 3.0327843467 -1.9149397575 0.4316941987 2.4449721715 -1.5457138349 -0.0749731060
0.6000000000 2.8055093590 -0.6422781532 0.6300579033 -1.8465141714 2.9197904915 -1.6472491561 0.5311339791 2.3883314378 -1.2305867339 -0.0815781647
0.6500000000 2.6477550106 -0.3815195468 0.6706188347 -1.8994175602 2.6450060871 -1.3515332702 0.6074493364 2.2340899421 -0.8721858891 -0.1054985682
0.7000000000 2.4207396152 -0.1737875720 0.6942069130 -1.9315147726 2.2293376352 -1.0687756966 0.6531034289 2.0037990071 -0.5200812482 -0.1437883712
0.7500000000 2.1570293753 -0.0668461228 0.7028300573 -1.9407235878 1.7268000448 -0.8455091140 0.6617726015 1.7348340002 -0.2328072062 -0.1900757481
0.8000000000 1.9051114612 -0.1057475781 0.7017925428 -1.9288786297 1.2304717553 -0.7321936815 0.6288062722 1.4816989861 -0.0762769868 -0.2340184639
0.8500000000 1.7308914227 -0.3294240591 0.7001469604 -1.9026944947 0.8784498603 -0.7815954368 0.5516868180 1.3173313793 -0.1221970244 -0.2607593474
0.9000000000 1.7191906011 -0.7672786869 0.7111461756 -1.8747288795 0.8598052304 -1.0471646945 0.4304894604 1.3344065974 -0.4464813461 -0.2503817626
0.9500000000 1.9752435412 -1.4357768399 0.7526952883 -1.8643457086 1.4205376364 -1.5814144444 0.2683421518 1.6466427131 -1.1276659530 -0.1773650809
1.0000000000 2.6261954031 -2.3350374112 0.8478035920 -1.8986782624 2.8695308729 -2.4342987499 0.0718854611 2.3901051075 -2.2453232022 -0.0100401534
