s xb yb zb psi xl yl zl xr yr zr
0.0000000000 2.6334190272 -1.7096139966 0.6139283026 -1.4862535831 2.8904131355 -1.6881058122 -0.2070190904 2.3689389908 -1.7360266934 -0.1844487010
0.0500000000 2.0647894347 -1.6685373151 0.5309778323 -1.5154732790 1.8920878966 -1.3027671927 -0.2409417184 1.6029408405 -1.7739132801 -0.2111033052
0.1000000000 1.7398575541 -1.6101860846 0.5102460556 -1.5037603892 1.5187486005 -1.1966188287 -0.2476265499 1.2647103596 -1.8815927088 -0.1738787434
0.1500000000 1.5987138297 -1.5403847041 0.5089813839 -1.4771666674 1.5227059177 -1.2571748796 -0.2464136945 1.1984456842 -1.9904989572 -0.1266078608
0.2000000000 1.5885208119 -1.4611104487 0.5014989597 -1.4541017065 1.7155070882 -1.3962057734 -0.2450894992 1.2830843005 -2.0543768819 -0.1003898305
0.2500000000 1.6634548005 -1.3715724555 0.4763504085 -1.4462960754 1.9612642657 -1.5475517891 -0.2423473233 1.4286493725 -2.0464808857 -0.1074730681
0.3000000000 1.7846474871 -1.2692907102 0.4334935912 -1.4597644558 2.1699828622 -1.6649366387 -0.2302483136 1.5725960708 -1.9567735848 -0.1451381463
0.3500000000 1.9201275988 -1.1511750328 0.3814623557 -1.4957687795 2.2908898927 -1.7197810504 -0.1966821785 1.6761579003 -1.7891244759 -0.1995807092
0.4000000000 2.0447625407 -1.0146040641 0.3345362892 -1.5517813644 2.3057623198 -1.6990163505 -0.1278279638 1.7206930288 -1.5585086035 -0.2497943871
0.4500000000 2.1402000390 -0.8585042519 0.3099104701 -1.6224480522 2.2222553980 -1.6028980464 -0.0106148269 1.7040306152 -1.2882052273 -0.2714537106
0.5000000000 2.1948097841 -0.6844288371 0.3248652203 -1.7005513445 2.0672310185 -1.4428194087 0.1648171883 1.6368171373 -1.0069964889 -0.2407970258
0.5500000000 2.2036250734 -0.4976368398 0.3939358568 -1.7779735402 1.8800860537 -1.2391250541 0.4026563759 1.5388627206 -0.7463660795 -0.1385094080
0.6000000000 2.1682844546 -0.3081720457 0.5260824442 -1.8466598720 1.7060807016 -1.0189245274 0.6989585940 1.4354874663 -0.5376979068 0.0463944232
0.6500000000 2.0969733685 -0.1319419919 0.7218595463 -1.8995816433 1.5896668307 -0.8139058845 1.0391864892 1.3538677794 -0.4094747623 0.3126871895
0.7000000000 2.0043657919 0.0082030464 0.9705859787 -1.9316993650 1.5678163243 -0.6581492748 1.3957487221 1.3193826970 -0.3844769887 0.6430461396
0.7500000000 1.9115658808 0.0813910700 1.2475145602 -1.9409258927 1.6633494250 -0.5859405233 1.7255391921 1.3519602167 -0.4769811468 1.0001701343
0.8000000000 1.8460496132 0.0476493696 1.5110018652 -1.9290895628 1.8782630796 -0.6295847137 1.9674762628 1.4624236247 -0.6899586828 1.3228967324
0.8500000000 1.8416064322 -0.1431744606 1.6996779759 -1.9028973301 2.1870592832 -0.8172197705 2.0400419871 1.6488378238 -1.0122745955 1.5223192760
0.9000000000 1.9382808892 -0.5524915090 1.7296162338 -1.8748979042 2.5300734242 -1.1706300417 1.8388213323 1.8928556622 -1.4158861038 1.4779039758
0.9500000000 2.1823142864 -1.2540505327 1.4915029923 -1.8644448863 2.8068026286 -1.7030598810 1.2340414049 2.1560642610 -1.8530413133 1.0336069969
1.0000000000 2.6260863203 -2.3350169437 0.8478073684 -1.8986599063 2.8692341046 -2.4170272308 0.0681106765 2.3763313432 -2.2534778842 -0.0060084559
