s xb yb zb psi xl yl zl xr yr zr
0.0000000000 2.0774905992 -1.5715319312 0.3485100934 -1.7374095119 2.7945236343 -2.4233050495 -0.0960211381 1.2749630439 -1.1492077985 -0.6693520307
0.0500000000 2.5775083138 -1.5995728806 0.4727769694 -8.9705663803 3.3210586819 -2.1167864443 -0.2294368262 1.6400106239 -1.3848057073 -0.3697254328
0.1000000000 2.7032286736 -1.2929554598 0.5403074611 -11.5525453229 3.2634470349 -1.7170321706 -0.2758314458 1.7190974362 -1.3124499651 -0.1179448729
0.1500000000 2.6187770678 -0.8691865360 0.5281398536 -11.0613753710 2.9108458474 -1.3467681917 -0.2831296529 1.6444712645 -1.1182185642 0.0741994392
0.2000000000 2.4441722025 -0.4770095180 0.4307300014 -8.7592935133 2.4704607162 -1.0818802518 -0.2814340233 1.5105986692 -0.9292460941 0.2018637472
0.2500000000 2.2610408090 -0.2060640633 0.2567146908 -5.6230562343 2.0784342492 -0.9586055161 -0.2858720636 1.3794060670 -0.8221659365 0.2660828944
0.3000000000 2.1183323521 -0.0965457847 0.0256750029 -2.3742510532 1.8107346339 -0.9807242100 -0.2994432233 1.2855208111 -0.8315524599 0.2727024704
0.3500000000 2.0380337391 -0.1488659573 -0.2351003237 0.4903919374 1.6940442060 -1.1267512590 -0.3158659060 1.2415122707 -0.9583632149 0.2313109581
0.4000000000 2.0208840280 -0.3333112250 -0.4938515308 2.6686885326 1.7166480178 -1.3571279283 -0.3224244810 1.2431329111 -1.1783811288 0.1541718799
0.4500000000 2.0520891360 -0.5997033077 -0.7175844772 4.0226888764 1.8393224068 -1.6214134620 -0.3028162950 1.2745593735 -1.4506567006 0.0551559446
0.5000000000 2.1070365479 -0.8870587074 -0.8753072768 4.5483659231 2.0062235638 -1.8654767230 -0.2399986834 1.3136335546 -1.7259501960 -0.0513268061
0.5500000000 2.1570100251 -1.1332484158 -0.9412669352 4.3453038983 2.1557761020 -2.0386878327 -0.1190359821 1.3371036868 -1.9551738421 -0.1513948508
0.6000000000 2.1749043135 -1.2846576205 -0.8981859878 3.5863867603 2.2315616249 -2.1011098101 0.0700534610 1.3258654176 -2.0978340226 -0.2327630418
0.6500000000 2.1409398523 -1.3058454121 -0.7404991364 2.4874866610 2.1932072952 -2.0306902120 0.3294502747 1.2702028900 -2.1304734725 -0.2858104588
0.7000000000 2.0483774826 -1.1892044907 -0.4775898871 1.2771524077 2.0272744030 -1.8304527722 0.6506870526 1.1750298219 -2.0551134731 -0.3046482616
0.7500000000 1.9092331555 -0.9646208730 -0.1370271876 0.1662979236 1.7581469346 -1.5356890410 1.0118013418 1.0651305860 -1.9076960468 -0.2881875441
0.8000000000 1.7599926412 -0.7091335989 0.2321979360 -0.6821092905 1.4589201407 -1.2211500251 1.3744886312 0.9904012898 -1.7665261521 -0.2412071874
0.8500000000 1.6673262369 -0.5565944383 0.5564357411 -1.1833596951 1.2622891050 -1.0082378271 1.6812553400 1.0310908554 -1.7607138787 -0.1754217129
0.9000000000 1.7338034757 -0.7073275979 0.7341411317 -1.3613132508 1.3714373126 -1.0721972849 1.8525718062 1.3030420993 -2.0786166418 -0.1105491363
0.9500000000 2.1036078349 -1.4377894281 0.6326370209 -1.3787109572 2.0709252187 -1.6493076115 1.7840252751 1.9629328121 -2.9762813779 -0.0753788203
1.0000000000 2.9682514448 -3.1102281296 0.0848776938 -1.5674863914 3.7375788170 -3.0440740344 1.3434728874 3.2135168385 -4.7858867389 -0.1088393284
