s xb yb zb psi xl yl zl xr yr zr
0.0000000000 2.6327604701 -1.7066206062 0.6139630784 -1.5033069680 2.8972862380 -1.6790356431 -0.2145365570 2.3842926266 -1.7235399281 -0.1642077763
0.0500000000 2.6384623049 -1.7611068905 0.6313644506 -1.4643559783 2.8617061632 -1.7588817756 -0.1553938616 2.3885604422 -1.7876014279 -0.1659525228
0.1000000000 2.6419580049 -1.8071548758 0.6517628619 -1.4937096199 2.9099213188 -1.7413990895 -0.1757915786 2.3930274866 -1.8264241740 -0.1288142254
0.1500000000 2.6452000895 -1.8522328016 0.6729206418 -1.5100397065 2.9628401342 -1.7238629039 -0.1919746357 2.3969006772 -1.8674902659 -0.0965057591
0.2000000000 2.6490701450 -1.8997126684 0.6935374190 -1.4963701338 2.9891872985 -1.7452879133 -0.1744855944 2.4004144435 -1.9183430055 -0.0807872593
0.2500000000 2.6536942835 -1.9500768459 0.7129106712 -1.4678945499 2.9857034132 -1.8096400451 -0.1249981505 2.4041207204 -1.9757183738 -0.0770432056
0.3000000000 2.6587165416 -2.0019638007 0.7306923409 -1.4495153747 2.9626217589 -1.9031367629 -0.0593649150 2.4084415430 -2.0321213196 -0.0751469661
0.3500000000 2.6635302170 -2.0530529424 0.7467268714 -1.4617014063 2.9337214917 -2.0063875850 0.0039398441 2.4134408488 -2.0801923988 -0.0663006503
0.4000000000 2.6674671443 -2.1007885887 0.7609560215 -1.5132612484 2.9102565862 -2.1021265842 0.0508018184 2.4187720904 -2.1152103059 -0.0465381218
0.4500000000 2.6699449092 -2.1429430494 0.7733758126 -1.5996297983 2.8980598398 -2.1792886386 0.0746919561 2.4237582620 -2.1360758363 -0.0175790201
0.5000000000 2.6705720020 -2.1780188291 0.7840309660 -1.7052650302 2.8971212556 -2.2341811999 0.0769547574 2.4275609452 -2.1451228205 0.0142783584
0.5500000000 2.6692109092 -2.2054899494 0.7930321852 -1.8087523108 2.9029401196 -2.2695033466 0.0649788910 2.4293949764 -2.1471015703 0.0405374705
0.6000000000 2.6659991443 -2.2258823887 0.8005816402 -1.8892134839 2.9089500879 -2.2919638919 0.0490694489 2.4287453401 -2.1476803756 0.0534693779
0.6500000000 2.6613282170 -2.2406936424 0.8069920091 -1.9326179607 2.9093166002 -2.3092503117 0.0388411623 2.4255428922 -2.1518105944 0.0489761898
0.7000000000 2.6557805416 -2.2521514007 0.8126844339 -1.9365930523 2.9014059355 -2.3271002619 0.0399518976 2.4202555178 -2.1623008736 0.0286642471
0.7500000000 2.6500242835 -2.2628113459 0.8181507448 -1.9123307807 2.8872252268 -2.3472274528 0.0519957519 2.4138513252 -2.1789460422 0.0004391979
0.8000000000 2.6446661450 -2.2749940684 0.8238653117 -1.8821884056 2.8731327495 -2.3668536479 0.0683750701 2.4075904828 -2.1985562165 -0.0230648842
0.8500000000 2.6400620895 -2.2900611016 0.8301318766 -1.8715799026 2.8671178008 -2.3805985546 0.0789707021 2.4026023008 -2.2162316573 -0.0289101912
0.9000000000 2.6360860049 -2.3075300758 0.8368507237 -1.8937556303 2.8729494853 -2.3854793758 0.0764298207 2.3992041616 -2.2282289192 -0.0118215288
0.9500000000 2.6318563049 -2.3240289905 0.8431915443 -1.9260674226 2.8804937237 -2.3897717889 0.0668906210 2.3959189047 -2.2367638322 0.0136178272
1.0000000000 2.6254204701 -2.3320896062 0.8471573502 -1.8763163423 2.8514977995 -2.4264841209 0.0859632202 2.3881472669 -2.2570968557 -0.0041470834
