s xb yb zb psi xl yl zl xr yr zr
0.0000000000 2.6326290778 -2.7020991895 -0.3220427006 22.8770495166 1.9501031814 -1.7109086586 -0.2294119557 1.5646052819 -2.5988706356 0.0188931178
0.0500000000 2.8480328065 -1.4370855075 2.6658990843 -0.6278835337 2.6799583748 -0.6228685022 2.9872727476 2.2134576819 -1.1553720812 3.2025766543
0.1000000000 2.5562960271 -0.6659364950 4.0461751802 -3.7941174978 2.2891966901 -0.2750665931 3.4101391124 1.8050018936 -0.3308994387 4.0081259455
0.1500000000 2.4329265567 -0.4115672638 4.4198255666 -0.4536254915 1.9027807030 -0.3642969966 3.6463098729 1.5683608709 -0.1410109678 4.3095547876
0.2000000000 2.5985178706 -0.4979754629 4.2391186474 2.7726421254 1.8529298658 -0.6209429389 3.8119171506 1.7873325308 -0.3814582088 4.5163992458
0.2500000000 2.9161004489 -0.7009964550 3.8191106924 3.7177645918 2.0673356150 -0.8477403770 3.6873563455 2.2840341195 -0.7882418980 4.4462498179
0.3000000000 3.1894487819 -0.8409979405 3.3554727220 2.6117340680 2.3355163483 -0.9348278383 3.3858052442 2.7482236930 -1.1382166141 4.0141783604
0.3500000000 3.2783971185 -0.8275972409 2.9467798606 0.6343161641 2.4722372077 -0.8560353508 3.1672758045 2.9362417299 -1.3003327253 3.5112020996
0.4000000000 3.1472170394 -0.6664844542 2.6194581815 -1.0120115937 2.3969196096 -0.6513652862 3.0304660793 2.7635158993 -1.2476042061 3.2439270448
0.4500000000 2.8621099394 -0.4384346952 2.3535840683 -1.5989426336 2.1479654579 -0.4006179369 2.7146797390 2.3145720011 -1.0398908947 2.3075131265
0.5000000000 2.5538675007 -0.2605926331 2.1077311167 -1.0289448135 1.8509209802 -0.1931146471 1.4656705760 1.7944941006 -0.7875837595 1.9961780721
0.5500000000 2.3617532408 -0.2401125383 1.8410596013 0.2585162249 1.6594051245 -0.0984713223 1.2676427493 1.4457768766 -0.6062817455 1.8816699065
0.6000000000 2.3746582184 -0.4302370520 1.5308435307 1.5412345546 1.6877274552 -0.1433751358 0.9488604878 1.4545132037 -0.5725487701 1.5429496257
0.6500000000 2.5855839796 -0.7988978906 1.1836303170 2.1391030404 1.9541204878 -0.2993172549 0.8898220714 1.8698599877 -0.6908394372 1.5928493267
0.7000000000 2.8755058272 -1.2199216965 0.8382280812 1.7196347264 2.3535113980 -0.4862344086 1.0424055387 2.5607252762 -0.8816820414 1.6883315956
0.7500000000 3.0426694978 -1.4969242503 0.5587156214 0.4942672601 2.6787580476 -0.5970121173 0.9913314639 3.2336196618 -1.0012074296 1.3223861637
0.8000000000 2.8933743279 -1.4299762539 0.4156700665 -0.7844489171 2.7092742613 -0.5478024065 0.4584722109 3.5356150007 -0.9021122916 0.4660427717
0.8500000000 2.4102959924 -0.9351238997 0.4538072393 -1.1146778830 2.3859692967 -0.3591088260 -0.2301426729 3.2663534645 -0.5461454485 -0.2033140552
0.9000000000 2.0144019000 -0.2268474360 0.6442297554 0.0839596749 2.0914264429 -0.2725915957 -0.1947752601 2.7230499464 -0.1782057095 0.2488573818
0.9500000000 2.9365123262 -0.0735409437 0.8194778787 1.8308303225 3.0542456882 -0.9085456995 0.9499674164 3.2024308424 -0.5721398658 1.6237316633
1.0000000000 7.7145603690 -2.1360965345 0.5895781614 -0.1139815762 7.8964753947 -3.4690047495 0.5693251501 7.6835522259 -3.3583293924 -0.0065490192
